# Plain-Slug Reclassification (per Plain-Slug Lifecycle Rule, Atlas-validated 2026-05-05)
# Cohort: original 130-row plain-slug-mappings.SUPERSEDED.tsv
# Rule: plain /<dogname>/ → success-story by base-name match alone is NOT authorized.
legacy_path	rationale	proposed_action	proposed_destination	dog_id	previous_disposition	notes
/ada	not_current_available_no_destination	410			308 → /adoption-successes/2024/ada-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/antero	not_current_available_no_destination	410			308 → /adoption-successes/2023/antero-2023 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/apollo	not_current_available_no_destination	410			308 → /adoption-successes/2024/apollo-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/apollo-merle	not_current_available_no_destination	410			308 → /adoption-successes/2024/apollo-merle-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/arlo	not_current_available_no_destination	410			308 → /adoption-successes/2025/arlo-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/asher	not_current_available_no_destination	410			308 → /adoption-successes/2024/asher-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/athena	not_current_available_no_destination	410			308 → /adoption-successes/2024/athena-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/atlas	not_current_available_no_destination	410			308 → /adoption-successes/2022/atlas-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/babe	not_current_available_no_destination	410			308 → /adoption-successes/2023/babe-2023 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/bailey	not_current_available_no_destination	410			308 → /adoption-successes/2025/bailey-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/bee	not_current_available_no_destination	410			308 → /adoption-successes/2025/bee-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/bela	not_current_available_no_destination	410			308 → /adoption-successes/2024/bela-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/bella	not_current_available_no_destination	410			308 → /adoption-successes/2025/bella-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/belle	not_current_available_no_destination	410			308 → /adoption-successes/2024/belle-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/bentley	not_current_available_no_destination	410			308 → /adoption-successes/2025/bentley-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/bently	not_current_available_no_destination	410			308 → /adoption-successes/2023/bently-2023 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/blue	not_current_available_no_destination	410			308 → /adoption-successes/2025/blue-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/bolt	not_current_available_no_destination	410			308 → /adoption-successes/2025/bolt-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/brady	not_current_available_no_destination	410			308 → /adoption-successes/2023/brady-2023 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/brandi	not_current_available_no_destination	410			308 → /adoption-successes/2022/brandi-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/bruno	not_current_available_no_destination	410			308 → /adoption-successes/2025/bruno-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/bruno-fawn	not_current_available_no_destination	410			308 → /adoption-successes/2025/bruno-fawn-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/buck	not_current_available_no_destination	410			308 → /adoption-successes/2023/buck-2023 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/bunker	not_current_available_no_destination	410			308 → /adoption-successes/2025/bunker-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/cambria	not_current_available_no_destination	410			308 → /adoption-successes/2023/cambria-2023 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/casper	not_current_available_no_destination	410			308 → /adoption-successes/2023/casper-2023 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/charlee	not_current_available_no_destination	410			308 → /adoption-successes/2023/charlee-2023-2 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/charlie	not_current_available_no_destination	410			308 → /adoption-successes/2022/charlie-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/claire	not_current_available_no_destination	410			308 → /adoption-successes/2024/claire-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/coco	not_current_available_no_destination	410			308 → /adoption-successes/2024/coco-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/coffee-bean	not_current_available_no_destination	410			308 → /adoption-successes/2024/coffee-bean-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/cowboy	not_current_available_no_destination	410			308 → /adoption-successes/2024/cowboy-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/daisy	not_current_available_no_destination	410			308 → /adoption-successes/2024/daisy-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/dakota	not_current_available_no_destination	410			308 → /adoption-successes/2025/dakota-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/dan	not_current_available_no_destination	410			308 → /adoption-successes/2024/dan-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/diesel	not_current_available_no_destination	410			308 → /adoption-successes/2022/diesel-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/donut	not_current_available_no_destination	410			308 → /adoption-successes/2025/donut-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/dozer	not_current_available_no_destination	410			308 → /adoption-successes/2022/dozer-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/drago	not_current_available_no_destination	410			308 → /adoption-successes/2023/drago-2023 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/duke	not_current_available_no_destination	410			308 → /adoption-successes/2025/duke-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/duke-black	not_current_available_no_destination	410			308 → /adoption-successes/2022/duke-black-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/duke-fawnequin	not_current_available_no_destination	410			308 → /adoption-successes/2022/duke-fawnequin-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/duncan	not_current_available_no_destination	410			308 → /adoption-successes/2022/duncan-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/echo	not_current_available_no_destination	410			308 → /adoption-successes/2025/echo-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/ella	not_current_available_no_destination	410			308 → /adoption-successes/2024/ella-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/erza	not_current_available_no_destination	410			308 → /adoption-successes/2025/erza-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/fiona	not_current_available_no_destination	410			308 → /adoption-successes/2023/fiona-2023 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/gabby	not_current_available_no_destination	410			308 → /adoption-successes/2022/gabby-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/george	not_current_available_no_destination	410			308 → /adoption-successes/2022/george-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/groot	not_current_available_no_destination	410			308 → /adoption-successes/2025/groot-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/gypsy-rose	not_current_available_no_destination	410			308 → /adoption-successes/2022/gypsy-rose-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/harlem	not_current_available_no_destination	410			308 → /adoption-successes/2024/harlem-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/harley-brindle	not_current_available_no_destination	410			308 → /adoption-successes/2025/harley-brindle-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/hennessey	not_current_available_no_destination	410			308 → /adoption-successes/2025/hennessey-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/holly	not_current_available_no_destination	410			308 → /adoption-successes/2022/holly-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/journey	not_current_available_no_destination	410			308 → /adoption-successes/2025/journey-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/juniper	not_current_available_no_destination	410			308 → /adoption-successes/2022/juniper-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/kai	not_current_available_no_destination	410			308 → /adoption-successes/2024/kai-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/kane	not_current_available_no_destination	410			308 → /adoption-successes/2023/kane-2023 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/kara	not_current_available_no_destination	410			308 → /adoption-successes/2025/kara-2025 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/khan	not_current_available_no_destination	410			308 → /adoption-successes/2022/khan-2022 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/kingston	not_current_available_no_destination	410			308 → /adoption-successes/2023/kingston-2023 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/korben	not_current_available_no_destination	410			308 → /adoption-successes/2024/korben-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
/kumo	not_current_available_no_destination	410			308 → /adoption-successes/2024/kumo-2024 (success-story by base-name) — VOIDED	Plain-Slug Lifecycle Rule: legacy /<dogname>/ is not authorized for success-story redirect by base-name match alone. No current-available match. Default 410.
